x,y,species cloglog values
894.0,894.0,0.666065
895.0,895.0,0.5457825
896.0,896.0,0.38928175
897.0,897.0,0.50344133
898.0,898.0,0.6703693
899.0,899.0,0.63853526
900.0,900.0,0.73473245
901.0,901.0,0.47619167
902.0,902.0,0.7391923
903.0,903.0,0.78447497
904.0,904.0,0.5686799
905.0,905.0,0.6132473
906.0,906.0,0.5172358
907.0,907.0,0.72959423
908.0,908.0,0.6234075
909.0,909.0,0.5646867
910.0,910.0,0.42252088
911.0,911.0,0.62429976
912.0,912.0,0.64132524
913.0,913.0,0.46794805
914.0,914.0,0.6831668
915.0,915.0,0.6649174
916.0,916.0,0.5427138
917.0,917.0,0.7672323
918.0,918.0,0.5567098
919.0,919.0,0.840478
920.0,920.0,0.64899325
921.0,921.0,0.650662
922.0,922.0,0.7291411
923.0,923.0,0.5186858
924.0,924.0,0.60419613
925.0,925.0,0.63329685
926.0,926.0,0.62033534
927.0,927.0,0.50385565
928.0,928.0,0.5333597
929.0,929.0,0.60478663
930.0,930.0,0.5051317
931.0,931.0,0.49313387
932.0,932.0,0.66834515
933.0,933.0,0.64228857
934.0,934.0,0.5644612
935.0,935.0,0.6021205
936.0,936.0,0.59991854
937.0,937.0,0.4257404
938.0,938.0,0.52293223
939.0,939.0,0.6414595
940.0,940.0,0.5635379
941.0,941.0,0.5138801
942.0,942.0,0.5451629
943.0,943.0,0.44068006
944.0,944.0,0.6941418
945.0,945.0,0.9221458
946.0,946.0,0.6233999
947.0,947.0,0.63230073
948.0,948.0,0.677576
949.0,949.0,0.507403
950.0,950.0,0.581772
951.0,951.0,0.71157724
952.0,952.0,0.65595996
953.0,953.0,0.6259776
954.0,954.0,0.49361113
955.0,955.0,0.43923143
956.0,956.0,0.68392146
957.0,957.0,0.69786835
958.0,958.0,0.7232609
959.0,959.0,0.6903459
960.0,960.0,0.6349459
961.0,961.0,0.44572657
962.0,962.0,0.6183862
963.0,963.0,0.5988572
964.0,964.0,0.67920184
965.0,965.0,0.70275605
966.0,966.0,0.632708
967.0,967.0,0.5520484
968.0,968.0,0.6003035
969.0,969.0,0.54286665
970.0,970.0,0.6433364
971.0,971.0,0.64070666
972.0,972.0,0.58429044
973.0,973.0,0.40755886
974.0,974.0,0.4679707
975.0,975.0,0.39272994
976.0,976.0,0.51013464
977.0,977.0,0.45764104
978.0,978.0,0.4831539
979.0,979.0,0.5158188
980.0,980.0,0.6980832
981.0,981.0,0.5329549
982.0,982.0,0.7361792
983.0,983.0,0.44559538
984.0,984.0,0.6209402
985.0,985.0,0.4795007
986.0,986.0,0.63173926
987.0,987.0,0.5823402
988.0,988.0,0.5822256
989.0,989.0,0.5590557
990.0,990.0,0.5789844
991.0,991.0,0.650069
992.0,992.0,0.6893102
993.0,993.0,0.693746
994.0,994.0,0.5330824
995.0,995.0,0.7172239
996.0,996.0,0.49143928
997.0,997.0,0.5230357
998.0,998.0,0.45319763
999.0,999.0,0.6583429
1000.0,1000.0,0.4993614
